listing_id,host_id,host_url,host_name,host_location,host_about,host_response_time,host_response_rate,host_picture_url,host_is_superhost,host_has_profile_pic,host_identity_verified,host_total_listings,host_verifications
1003530,454250,https://www.airbnb.com/users/show/454250,Greta,"New York, New York, United States",By now I have lived longer in the city than the country however I feel equally at home in each. I like to keep one foot in each and help others to do the same!,within an hour,100.0,https://a0.muscache.com/im/pictures/f1022be4-e72a-4b35-b6d2-3d2736ddaff9.jpg?aki_policy=profile_x_medium,True,True,True,3,"email, phone, reviews, jumio, offline_government_id, government_id"
10133554,52004703,https://www.airbnb.com/users/show/52004703,Mehmet Emin,"Istanbul, İstanbul, Turkey",,within a few hours,100.0,https://a0.muscache.com/im/pictures/user/4cb6be34-659b-42cc-a93d-77a5d3501e7a.jpg?aki_policy=profile_x_medium,False,True,True,2,"email, phone, facebook, reviews, jumio, offline_government_id, government_id"
10059872,51624384,https://www.airbnb.com/users/show/51624384,Giovanni,"Hong Kong, Hong Kong",,within an hour,100.0,https://a0.muscache.com/im/pictures/264b82a7-756f-4da8-b607-dc9759e2a10f.jpg?aki_policy=profile_x_medium,False,True,False,1,"email, phone, reviews, jumio, government_id"
10084023,51744313,https://www.airbnb.com/users/show/51744313,Yi,United States,"Hi, this is Yi from Hong Kong, nice to meet you.

你好!我是來自香港的Yi .",within an hour,100.0,https://a0.muscache.com/im/pictures/user/a204d442-1ae1-47fc-8d26-cf0ff9efda1b.jpg?aki_policy=profile_x_medium,False,True,True,2,"email, phone, reviews, jumio, offline_government_id, government_id"
10091713,13764143,https://www.airbnb.com/users/show/13764143,Ben,"New South Wales, Australia","Software developer from Sydney, Australia. ",within an hour,100.0,https://a0.muscache.com/im/pictures/03c4d82b-7e4a-4457-976d-c4e9dfdb13fa.jpg?aki_policy=profile_x_medium,False,True,True,1,"email, phone, google, reviews, jumio, offline_government_id, government_id, work_email"
10112159,2649859,https://www.airbnb.com/users/show/2649859,Elisabete,"Porto, Porto, Portugal","Sou activa, responsável, interessada por leitura, por cinema e por passeio. Sobretudo, sou escritora. Adoro escrever! Escrevo sobre o Porto e sobre as pessoas, pois são o que de mais importante temos! Venha conhecer o nosso espaço, que inspirou o nascimento de dois livros, já editados, além de outros dois, ainda na forja... | I'm an active, responsible person, who loves reading, movies and walking through our beautiful country. Mainly, I'm a writer. I love to write! I write about Oporto and about people, cause they are the most important thing we have. Come and know our space, where two books were already born, and two others are on their way out..",within an hour,100.0,https://a0.muscache.com/im/pictures/3e7725d5-79ea-4290-a99c-5bd5e0691f02.jpg?aki_policy=profile_x_medium,False,True,True,2,"email, phone, reviews, jumio, government_id"
10096773,34607505,https://www.airbnb.com/users/show/34607505,Scott,"New York, New York, United States",I am pretty much your average early/mid career working professional in NYC.,within an hour,100.0,https://a0.muscache.com/im/pictures/675cec89-71eb-4ca7-bacd-bbed62ef6fad.jpg?aki_policy=profile_x_medium,False,True,True,1,"email, phone, facebook, reviews, kba"
10140368,1017772,https://www.airbnb.com/users/show/1017772,Lane,US,"Hello. I am a very passionate person with whatever I do. I love adventures and travelling. 
I love meeting and talking to people of any race, color and gender. I think I can learn something from every person I meet and I value learning so much that  

Hope to meet new friendships on my travels. ",within an hour,100.0,https://a0.muscache.com/im/pictures/user/0a118b69-9d68-4b0e-99ba-34fefc2df36b.jpg?aki_policy=profile_x_medium,True,True,True,1,"email, phone, manual_online, facebook, reviews, manual_offline, jumio, government_id"
10021707,11275734,https://www.airbnb.com/users/show/11275734,Josh,"New York, New York, United States",,within an hour,100.0,https://a0.muscache.com/im/users/11275734/profile_pic/1405792127/original.jpg?aki_policy=profile_x_medium,False,True,True,1,"email, phone, reviews, kba"
10038496,51530266,https://www.airbnb.com/users/show/51530266,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Professora de Educação Física formada pela universidade Gama Filho.,within an hour,100.0,https://a0.muscache.com/im/pictures/8c7bb5fe-7b6d-4d03-a465-aae8971a87a0.jpg?aki_policy=profile_x_medium,True,True,True,2,"email, phone, reviews, jumio, government_id"
10059244,7140229,https://www.airbnb.com/users/show/7140229,Caro,"Montreal, Quebec, Canada",,within an hour,100.0,https://a0.muscache.com/im/pictures/user/c64773a6-da5f-4c1a-91fe-f17131e4473b.jpg?aki_policy=profile_x_medium,False,True,False,1,"email, phone, reviews, jumio, government_id"
10116578,51915770,https://www.airbnb.com/users/show/51915770,Luiz Rodrigo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",,within an hour,100.0,https://a0.muscache.com/im/pictures/1a49003e-8025-432d-8614-b1b7aecfe381.jpg?aki_policy=profile_x_medium,False,True,False,1,"phone, facebook"
10009999,1282196,https://www.airbnb.com/users/show/1282196,Ynaie,"Rio de Janeiro, State of Rio de Janeiro, Brazil",I am an artist and traveling is a major part of my life. I love treating visitors the way I like to be treated when I´m abroad and I'm usually renting my flat while I'm away. I can recommend some cool parties and nights out as well as advise on some hidden secrets of Rio’s nature!,within an hour,100.0,https://a0.muscache.com/im/pictures/9681e3cc-4af1-4046-b294-2881dffb4ff8.jpg?aki_policy=profile_x_medium,False,True,False,1,"email, phone, facebook"
10066928,9036477,https://www.airbnb.com/users/show/9036477,Margaux,"Montreal, Quebec, Canada",,within an hour,100.0,https://a0.muscache.com/im/users/9036477/profile_pic/1425247510/original.jpg?aki_policy=profile_x_medium,False,True,False,2,"email, phone, reviews, work_email"
10115921,51471538,https://www.airbnb.com/users/show/51471538,Ahmet,"Istanbul, İstanbul, Turkey",,within an hour,100.0,https://a0.muscache.com/im/pictures/user/d8c830d0-16da-455c-818a-790864132e0a.jpg?aki_policy=profile_x_medium,False,True,False,16,"email, phone, reviews"
